Group	cellname	frames	trajarea	vol_asc	vol_des	vol_max	vol_l1_asc	vol_l1_des	vol_l1_max	vol_l2_asc	vol_l2_des	vol_l2_max	vol_l3_asc	vol_l3_des	vol_l3_max	rad_asc	rad_des	rad_max	rad_l1_asc	rad_l1_des	rad_l1_max	rad_l2_asc	rad_l2_des	rad_l2_max	rad_l3_asc	rad_l3_des	rad_l3_max	sph_asc	sph_des	sph_max	sph_l1_asc	sph_l1_des	sph_l1_max	sph_l2_asc	sph_l2_des	sph_l2_max	sph_l3_asc	sph_l3_des	sph_l3_max	len_asc	len_des	len_max	len_l1_asc	len_l1_des	len_l1_max	len_l2_asc	len_l2_des	len_l2_max	len_l3_asc	len_l3_des	len_l3_max	wid_asc	wid_des	wid_max	wid_l1_asc	wid_l1_des	wid_l1_max	wid_l2_asc	wid_l2_des	wid_l2_max	wid_l3_asc	wid_l3_des	wid_l3_max	dis_asc	dis_des	dis_max	dis_l1_asc	dis_l1_des	dis_l1_max	dis_l2_asc	dis_l2_des	dis_l2_max	dis_l3_asc	dis_l3_des	dis_l3_max	trac_asc	trac_max	trac_l1_asc	trac_l1_max	trac_l2_asc	trac_l2_max	trac_l3_asc	trac_l3_max	D2T_asc	D2T_des	D2T_max	D2T_l1_asc	D2T_l1_des	D2T_l1_max	D2T_l2_asc	D2T_l2_des	D2T_l2_max	D2T_l3_asc	D2T_l3_des	D2T_l3_max	den_asc	den_des	den_max	den_l1_asc	den_l1_des	den_l1_max	den_l2_asc	den_l2_des	den_l2_max	den_l3_asc	den_l3_des	den_l3_max	VfC_asc	VfC_des	VfC_max	VfC_l1_asc	VfC_l1_des	VfC_l1_max	VfC_l2_asc	VfC_l2_des	VfC_l2_max	VfC_l3_asc	VfC_l3_des	VfC_l3_max	box_asc	box_des	box_max	box_l1_asc	box_l1_des	box_l1_max	box_l2_asc	box_l2_des	box_l2_max	box_l3_asc	box_l3_des	box_l3_max	rect_asc	rect_des	rect_max	rect_l1_asc	rect_l1_des	rect_l1_max	rect_l2_asc	rect_l2_des	rect_l2_max	rect_l3_asc	rect_l3_des	rect_l3_max	cur_asc	cur_des	cur_max	cur_l1_asc	cur_l1_des	cur_l1_max	cur_l2_asc	cur_l2_des	cur_l2_max	cur_l3_asc	cur_l3_des	cur_l3_max	area_asc	area_des	area_max	area_l1_asc	area_l1_des	area_l1_max	area_l2_asc	area_l2_des	area_l2_max	area_l3_asc	area_l3_des	area_l3_max	A2B_asc	A2B_des	A2B_max	A2B_l1_asc	A2B_l1_des	A2B_l1_max	A2B_l2_asc	A2B_l2_des	A2B_l2_max	A2B_l3_asc	A2B_l3_des	A2B_l3_max	poly1_asc	poly1_des	poly1_max	poly1_l1_asc	poly1_l1_des	poly1_l1_max	poly1_l2_asc	poly1_l2_des	poly1_l2_max	poly1_l3_asc	poly1_l3_des	poly1_l3_max	poly2_asc	poly2_des	poly2_max	poly2_l1_asc	poly2_l1_des	poly2_l1_max	poly2_l2_asc	poly2_l2_des	poly2_l2_max	poly2_l3_asc	poly2_l3_des	poly2_l3_max	poly3_asc	poly3_des	poly3_max	poly3_l1_asc	poly3_l1_des	poly3_l1_max	poly3_l2_asc	poly3_l2_des	poly3_l2_max	poly3_l3_asc	poly3_l3_des	poly3_l3_max	poly4_asc	poly4_des	poly4_max	poly4_l1_asc	poly4_l1_des	poly4_l1_max	poly4_l2_asc	poly4_l2_des	poly4_l2_max	poly4_l3_asc	poly4_l3_des	poly4_l3_max	IQ1_asc	IQ1_des	IQ1_max	IQ1_l1_asc	IQ1_l1_des	IQ1_l1_max	IQ1_l2_asc	IQ1_l2_des	IQ1_l2_max	IQ1_l3_asc	IQ1_l3_des	IQ1_l3_max	IQ2_asc	IQ2_des	IQ2_max	IQ2_l1_asc	IQ2_l1_des	IQ2_l1_max	IQ2_l2_asc	IQ2_l2_des	IQ2_l2_max	IQ2_l3_asc	IQ2_l3_des	IQ2_l3_max	IQ3_asc	IQ3_des	IQ3_max	IQ3_l1_asc	IQ3_l1_des	IQ3_l1_max	IQ3_l2_asc	IQ3_l2_des	IQ3_l2_max	IQ3_l3_asc	IQ3_l3_des	IQ3_l3_max	IQ4_asc	IQ4_des	IQ4_max	IQ4_l1_asc	IQ4_l1_des	IQ4_l1_max	IQ4_l2_asc	IQ4_l2_des	IQ4_l2_max	IQ4_l3_asc	IQ4_l3_des	IQ4_l3_max	IQ5_asc	IQ5_des	IQ5_max	IQ5_l1_asc	IQ5_l1_des	IQ5_l1_max	IQ5_l2_asc	IQ5_l2_des	IQ5_l2_max	IQ5_l3_asc	IQ5_l3_des	IQ5_l3_max	IQ6_asc	IQ6_des	IQ6_max	IQ6_l1_asc	IQ6_l1_des	IQ6_l1_max	IQ6_l2_asc	IQ6_l2_des	IQ6_l2_max	IQ6_l3_asc	IQ6_l3_des	IQ6_l3_max	IQ7_asc	IQ7_des	IQ7_max	IQ7_l1_asc	IQ7_l1_des	IQ7_l1_max	IQ7_l2_asc	IQ7_l2_des	IQ7_l2_max	IQ7_l3_asc	IQ7_l3_des	IQ7_l3_max	IQ8_asc	IQ8_des	IQ8_max	IQ8_l1_asc	IQ8_l1_des	IQ8_l1_max	IQ8_l2_asc	IQ8_l2_des	IQ8_l2_max	IQ8_l3_asc	IQ8_l3_des	IQ8_l3_max	IQ9_asc	IQ9_des	IQ9_max	IQ9_l1_asc	IQ9_l1_des	IQ9_l1_max	IQ9_l2_asc	IQ9_l2_des	IQ9_l2_max	IQ9_l3_asc	IQ9_l3_des	IQ9_l3_max	FOf1_asc	FOf1_des	FOf1_max	FOf1_l1_asc	FOf1_l1_des	FOf1_l1_max	FOf1_l2_asc	FOf1_l2_des	FOf1_l2_max	FOf1_l3_asc	FOf1_l3_des	FOf1_l3_max	FOf2_asc	FOf2_des	FOf2_max	FOf2_l1_asc	FOf2_l1_des	FOf2_l1_max	FOf2_l2_asc	FOf2_l2_des	FOf2_l2_max	FOf2_l3_asc	FOf2_l3_des	FOf2_l3_max	FOf3_asc	FOf3_des	FOf3_max	FOf3_l1_asc	FOf3_l1_des	FOf3_l1_max	FOf3_l2_asc	FOf3_l2_des	FOf3_l2_max	FOf3_l3_asc	FOf3_l3_des	FOf3_l3_max	vel_asc	vel_des	vel_max	vel_l1_asc	vel_l1_des	vel_l1_max	vel_l2_asc	vel_l2_des	vel_l2_max	vel_l3_asc	vel_l3_des	vel_l3_max	Hf1_01_asc	Hf1_01_des	Hf1_01_max	Hf1_01_l1_asc	Hf1_01_l1_des	Hf1_01_l1_max	Hf1_01_l2_asc	Hf1_01_l2_des	Hf1_01_l2_max	Hf1_01_l3_asc	Hf1_01_l3_des	Hf1_01_l3_max	Hf2_01_asc	Hf2_01_des	Hf2_01_max	Hf2_01_l1_asc	Hf2_01_l1_des	Hf2_01_l1_max	Hf2_01_l2_asc	Hf2_01_l2_des	Hf2_01_l2_max	Hf2_01_l3_asc	Hf2_01_l3_des	Hf2_01_l3_max	Hf3_01_asc	Hf3_01_des	Hf3_01_max	Hf3_01_l1_asc	Hf3_01_l1_des	Hf3_01_l1_max	Hf3_01_l2_asc	Hf3_01_l2_des	Hf3_01_l2_max	Hf3_01_l3_asc	Hf3_01_l3_des	Hf3_01_l3_max	Hf4_01_asc	Hf4_01_des	Hf4_01_max	Hf4_01_l1_asc	Hf4_01_l1_des	Hf4_01_l1_max	Hf4_01_l2_asc	Hf4_01_l2_des	Hf4_01_l2_max	Hf4_01_l3_asc	Hf4_01_l3_des	Hf4_01_l3_max	Hf5_01_asc	Hf5_01_des	Hf5_01_max	Hf5_01_l1_asc	Hf5_01_l1_des	Hf5_01_l1_max	Hf5_01_l2_asc	Hf5_01_l2_des	Hf5_01_l2_max	Hf5_01_l3_asc	Hf5_01_l3_des	Hf5_01_l3_max	Hf1_12_asc	Hf1_12_des	Hf1_12_max	Hf1_12_l1_asc	Hf1_12_l1_des	Hf1_12_l1_max	Hf1_12_l2_asc	Hf1_12_l2_des	Hf1_12_l2_max	Hf1_12_l3_asc	Hf1_12_l3_des	Hf1_12_l3_max	Hf2_12_asc	Hf2_12_des	Hf2_12_max	Hf2_12_l1_asc	Hf2_12_l1_des	Hf2_12_l1_max	Hf2_12_l2_asc	Hf2_12_l2_des	Hf2_12_l2_max	Hf2_12_l3_asc	Hf2_12_l3_des	Hf2_12_l3_max	Hf3_12_asc	Hf3_12_des	Hf3_12_max	Hf3_12_l1_asc	Hf3_12_l1_des	Hf3_12_l1_max	Hf3_12_l2_asc	Hf3_12_l2_des	Hf3_12_l2_max	Hf3_12_l3_asc	Hf3_12_l3_des	Hf3_12_l3_max	Hf4_12_asc	Hf4_12_des	Hf4_12_max	Hf4_12_l1_asc	Hf4_12_l1_des	Hf4_12_l1_max	Hf4_12_l2_asc	Hf4_12_l2_des	Hf4_12_l2_max	Hf4_12_l3_asc	Hf4_12_l3_des	Hf4_12_l3_max	Hf5_12_asc	Hf5_12_des	Hf5_12_max	Hf5_12_l1_asc	Hf5_12_l1_des	Hf5_12_l1_max	Hf5_12_l2_asc	Hf5_12_l2_des	Hf5_12_l2_max	Hf5_12_l3_asc	Hf5_12_l3_des	Hf5_12_l3_max	Hf1_02_asc	Hf1_02_des	Hf1_02_max	Hf1_02_l1_asc	Hf1_02_l1_des	Hf1_02_l1_max	Hf1_02_l2_asc	Hf1_02_l2_des	Hf1_02_l2_max	Hf1_02_l3_asc	Hf1_02_l3_des	Hf1_02_l3_max	Hf2_02_asc	Hf2_02_des	Hf2_02_max	Hf2_02_l1_asc	Hf2_02_l1_des	Hf2_02_l1_max	Hf2_02_l2_asc	Hf2_02_l2_des	Hf2_02_l2_max	Hf2_02_l3_asc	Hf2_02_l3_des	Hf2_02_l3_max	Hf3_02_asc	Hf3_02_des	Hf3_02_max	Hf3_02_l1_asc	Hf3_02_l1_des	Hf3_02_l1_max	Hf3_02_l2_asc	Hf3_02_l2_des	Hf3_02_l2_max	Hf3_02_l3_asc	Hf3_02_l3_des	Hf3_02_l3_max	Hf4_02_asc	Hf4_02_des	Hf4_02_max	Hf4_02_l1_asc	Hf4_02_l1_des	Hf4_02_l1_max	Hf4_02_l2_asc	Hf4_02_l2_des	Hf4_02_l2_max	Hf4_02_l3_asc	Hf4_02_l3_des	Hf4_02_l3_max	Hf5_02_asc	Hf5_02_des	Hf5_02_max	Hf5_02_l1_asc	Hf5_02_l1_des	Hf5_02_l1_max	Hf5_02_l2_asc	Hf5_02_l2_des	Hf5_02_l2_max	Hf5_02_l3_asc	Hf5_02_l3_des	Hf5_02_l3_max	vol_mean	vol_std	vol_skew	rad_mean	rad_std	rad_skew	sph_mean	sph_std	sph_skew	len_mean	len_std	len_skew	wid_mean	wid_std	wid_skew	dis_mean	dis_std	dis_skew	trac_mean	trac_std	trac_skew	D2T_mean	D2T_std	D2T_skew	den_mean	den_std	den_skew	VfC_mean	VfC_std	VfC_skew	box_mean	box_std	box_skew	rect_mean	rect_std	rect_skew	cur_mean	cur_std	cur_skew	area_mean	area_std	area_skew	A2B_mean	A2B_std	A2B_skew	poly1_mean	poly1_std	poly1_skew	poly2_mean	poly2_std	poly2_skew	poly3_mean	poly3_std	poly3_skew	poly4_mean	poly4_std	poly4_skew	IQ1_mean	IQ1_std	IQ1_skew	IQ2_mean	IQ2_std	IQ2_skew	IQ3_mean	IQ3_std	IQ3_skew	IQ4_mean	IQ4_std	IQ4_skew	IQ5_mean	IQ5_std	IQ5_skew	IQ6_mean	IQ6_std	IQ6_skew	IQ7_mean	IQ7_std	IQ7_skew	IQ8_mean	IQ8_std	IQ8_skew	IQ9_mean	IQ9_std	IQ9_skew	FOf1_mean	FOf1_std	FOf1_skew	FOf2_mean	FOf2_std	FOf2_skew	FOf3_mean	FOf3_std	FOf3_skew	vel_mean	vel_std	vel_skew	Hf1_01_mean	Hf1_01_std	Hf1_01_skew	Hf2_01_mean	Hf2_01_std	Hf2_01_skew	Hf3_01_mean	Hf3_01_std	Hf3_01_skew	Hf4_01_mean	Hf4_01_std	Hf4_01_skew	Hf5_01_mean	Hf5_01_std	Hf5_01_skew	Hf1_12_mean	Hf1_12_std	Hf1_12_skew	Hf2_12_mean	Hf2_12_std	Hf2_12_skew	Hf3_12_mean	Hf3_12_std	Hf3_12_skew	Hf4_12_mean	Hf4_12_std	Hf4_12_skew	Hf5_12_mean	Hf5_12_std	Hf5_12_skew	Hf1_02_mean	Hf1_02_std	Hf1_02_skew	Hf2_02_mean	Hf2_02_std	Hf2_02_skew	Hf3_02_mean	Hf3_02_std	Hf3_02_skew	Hf4_02_mean	Hf4_02_std	Hf4_02_skew	Hf5_02_mean	Hf5_02_std	Hf5_02_skew
A	22102019_A4_8356	229	22.91392	35.817728	-35.175894	11.742402	34.234913	-33.389122	32.08035	27.062075	-28.449661	63.706897	33.018572	-12.175005	128.526428	0.341373	-0.363371	0.085587	0.381385	-0.4468	0.316814	0.417662	-0.455073	0.675841	0.186306	-0.191566	1.369742	0.017686	-0.016192	0.003384	0.022474	-0.018158	0.013596	0.015207	-0.014138	0.017862	0.0055	-0.003071	0.023857	1.58917	-1.668297	0.312271	1.983509	-2.249649	1.207895	2.302069	-2.374828	2.465862	1.480714	-1.382857	4.276428	1.255327	-1.299607	0.168253	1.279298	-1.34	0.659474	1.589655	-1.696552	1.328621	0.923572	-0.309286	2.707143	0.96454	-0.525762	0.512009	1.282983	-0.621754	1.875614	1.502069	-0.068276	2.289655	0.685714	-0.13	1.81	1.935459	1.935459	2.774912	4.633333	2.131724	3.548965	1.282857	2.876429	0.006598	-0.005608	0.004367	0.002923	-0.007285	0.011733	0.006081	-0.004658	0.022247	0.00315	-0.014367	0.051259	0.10173	-0.099136	0.010861	0.143055	-0.118202	0.041111	0.060076	-0.055702	0.04474	0.057294	-0.036578	0.052399	0.128019	-0.141781	0.033346	0.202533	-0.212683	0.133969	0.134091	-0.166516	0.118661	0.089004	-0.019804	0.229839	11.222259	-11.383693	1.574132	13.149379	-13.289241	6.324143	11.326123	-9.798808	10.96613	4.71466	-1.169046	20.119095	0.002176	-0.002092	0.004263	0.002348	-0.002117	0.017048	0.002575	-0.002743	0.033351	0.000304	-0.000995	0.067913	0.046113	-0.046253	0.003067	0.046578	-0.049208	0.01138	0.045723	-0.04885	0.02242	0.044568	-0.028221	0.0418	48.956332	-51.628821	7.991266	57.157895	-65.807018	27.929825	68.448276	-74.689655	63.103448	32.571429	-33.5	124.928571	0.003769	-0.00372	0.000397	0.004171	-0.003914	0.001593	0.003033	-0.003104	0.002313	0.002492	-0.004117	0.006305	2.762671	-2.808347	0.229829	2.303869	-2.336155	0.635708	5.038597	-4.439029	1.814855	2.297361	-1.877185	2.459882	0.206901	-0.204366	0.009954	0.222372	-0.207246	0.039116	0.221515	-0.193583	0.061051	0.090819	-0.2139	0.162816	0.046612	-0.047065	0.004817	0.039034	-0.042852	0.012235	0.052508	-0.060019	0.026512	0.041262	-0.025212	0.049966	11.399075	-11.589363	0.672829	9.697731	-9.740587	1.832119	19.067895	-16.94005	5.31303	9.258748	-8.044623	6.635797	10.411746	-10.157169	-0.0759	8.695276	-7.342009	3.309391	25.827373	-28.394063	12.648189	12.998246	-11.606161	13.202738	10.225773	-10.019442	-0.028748	9.009261	-7.761854	2.912215	24.570283	-27.428066	11.669446	12.052872	-11.625893	10.945106	9.192227	-9.013725	0.04543	7.9132	-7.193655	2.142366	21.948456	-24.512367	9.713415	11.654468	-9.745487	5.666673	7.12825	-7.0415	0.241227	6.430209	-6.12448	1.208549	17.809659	-19.650142	7.389983	8.095655	-7.654904	3.945791	6.535521	-6.539008	0.617045	5.778204	-5.995445	1.947116	13.075518	-14.783381	4.206052	6.151044	-6.044878	9.502661	9.005414	-9.072402	1.087106	8.259529	-9.266161	3.626201	13.524048	-14.364333	7.551025	6.603483	-7.442933	16.796778	13.907768	-14.09634	1.790336	14.229073	-16.071528	6.077625	18.908855	-19.472015	13.424629	13.634727	-14.057567	29.284784	21.360194	-21.775502	2.707956	23.249458	-25.742237	9.815613	28.877622	-30.025334	20.248879	18.268496	-18.45623	43.082101	35.319793	-35.771382	3.794385	41.197913	-44.747964	14.141428	44.494143	-45.098644	25.263286	27.945914	-31.251957	57.366717	2.054776	-1.840113	0.406711	2.50213	-1.962131	1.633979	1.466414	-1.346575	1.834828	0.589193	-0.191254	2.427548	1.475853	-1.286331	0.292674	1.803355	-1.540211	1.170051	1.248449	-1.049615	1.356319	0.830394	-0.270477	1.920516	0.068235	-0.068617	0.005436	0.073988	-0.081947	0.021838	0.069525	-0.063271	0.036014	0.051806	-0.036278	0.059527	0.001577	-0.001528	0.000189	0.002226	-0.002273	0.000761	0.00159	-0.001496	0.000548	0.000993	-0.001007	0.000644	0.008574	-0.008457	0.000916	0.010393	-0.010706	0.003681	0.007311	-0.006677	0.004594	0.004599	-0.002513	0.007437	0.04255	-0.043393	0.005023	0.040111	-0.038964	0.013571	0.075968	-0.080446	0.039663	0.073496	-0.081358	0.067147	0.014543	-0.014314	0.003859	0.012653	-0.013236	0.015192	0.024284	-0.022692	0.029894	0.022936	-0.018826	0.060271	0.001191	-0.001121	0.004298	0.00091	-0.000926	0.017256	0.001183	-0.001164	0.033699	0.000908	-0.00044	0.069852	0.048431	-0.049374	0.013884	0.056098	-0.053839	0.05534	0.050238	-0.055127	0.107137	0.029607	-0.035431	0.219744	0.008327	-0.008106	0.000905	0.009525	-0.009945	0.003636	0.006659	-0.005358	0.00404	0.003037	-0.001811	0.005754	0.085208	-0.084967	0.009263	0.073308	-0.071145	0.026681	0.130782	-0.141025	0.060215	0.080502	-0.089181	0.109642	0.015885	-0.015809	0.003546	0.014108	-0.014638	0.014244	0.023153	-0.020627	0.027135	0.019893	-0.016317	0.053227	0.002323	-0.002327	0.004233	0.00231	-0.002466	0.017008	0.002342	-0.002273	0.033203	0.001174	-0.001403	0.068745	0.052014	-0.053322	0.014689	0.062377	-0.059957	0.0571	0.054331	-0.063291	0.115248	0.020123	-0.026222	0.237219	0.007191	-0.007091	0.000737	0.008952	-0.009077	0.002961	0.006068	-0.005165	0.003135	0.002986	-0.001621	0.005301	0.140006	-0.140205	0.017565	0.132987	-0.130783	0.038737	0.227757	-0.252819	0.101274	0.130854	-0.178834	0.190434	0.018908	-0.018862	0.003398	0.018906	-0.019273	0.013653	0.026603	-0.022757	0.02535	0.021364	-0.011533	0.047376	0.002779	-0.002776	0.004179	0.002485	-0.00262	0.016709	0.00258	-0.002299	0.032673	0.001781	-0.001741	0.067295	0.054285	-0.055074	0.015512	0.066603	-0.064921	0.061271	0.060228	-0.068386	0.119885	0.02153	-0.029961	0.244801	1677.447835	225.880044	2.463523	15.023331	2.37558	0.110075	0.468618	0.12393	0.089408	39.288525	11.173237	1.084332	26.630968	4.835103	-0.014111	73.920002	30.245522	-0.865821	232.280553	138.307919	-0.18256	0.418857	0.192426	1.059007	1.17921	0.536748	0.379429	1.788765	0.845207	3.021553	267.06988	34.617305	-0.077248	0.954275	0.007775	0.125114	0.381263	0.11277	0.407351	1100.889401	343.722159	0.325367	0.065413	0.013341	-0.220851	25.334655	6.76103	1.092312	1.269775	0.470656	-0.271678	0.563054	0.108292	0.993679	51.853277	27.934116	1.204151	-79.454255	49.719016	-2.038045	-58.062853	45.28114	-2.400461	-27.424934	39.281481	-2.78458	13.443235	32.089047	-2.916185	66.154594	32.219549	-0.714609	134.197598	47.360916	0.287448	226.457939	73.603519	0.282508	358.09899	111.109173	0.238844	528.397981	151.003976	0.140367	49.773439	15.560669	0.273276	37.383503	12.933658	0.153961	0.524267	0.252059	-0.218144	0.005484	0.004892	3.146317	0.097319	0.034528	1.318102	0.440199	0.131553	1.851137	0.811886	0.041617	-1.171668	0.974672	0.005096	-0.818672	2.856477	0.170696	-0.407129	0.090314	0.036345	1.295159	0.883286	0.222764	1.629287	0.721776	0.04006	-0.769098	0.954564	0.008068	-0.754896	3.03823	0.187607	-0.693478	0.071672	0.028753	1.560685	1.364079	0.412469	2.114312	0.651982	0.055959	-0.700499	0.937532	0.010661	-0.841931	3.218918	0.174237	-0.665932
A	24082019_A3_4548	58	84.770969	39.7699	-35.925661	34.81162	47.108167	-19.563494	123.880724	25.769461	-29.150984	208.04248	45.202393	-21.227142	360.756683	0.282847	-0.273216	0.283088	0.173447	-0.121162	1.160849	0.491697	-0.038408	2.066653	0.009067	-0.068709	2.901383	0.0148	-0.014277	0.011339	0.006802	-0.006492	0.031199	0	-0.035039	0.086989	0.01558	0	0.16083	1.831993	-1.831054	1.343101	2.975089	-0.390525	5.414315	2.214197	-0.15522	6.028506	0.433689	-1.181757	8.094023	1.178733	-1.14598	0.688676	0.662443	-1.771511	2.853088	2.28914	-0.293346	4.790714	1.325472	0	5.743526	2.051519	-0.382302	1.669217	0.732068	-0.529075	1.447926	0.638142	-0.525498	2.852064	3.498541	-2.525544	3.498636	3.379981	3.379981	2.072214	4.606596	1.57449	4.862693	2.360659	4.792011	0.025866	-0.017351	0.017241	0.007827	-0.020674	0.033654	0.004272	-0.035451	0.110401	0.001988	-0.072894	0.192883	0.098155	-0.101876	0.034298	0.04153	-0.062318	0.092593	0.081745	-0.035038	0.142202	0.034686	-0.155731	0.19139	0.13013	-0.134297	0.100449	0.291935	-0.010202	0.399172	0.138622	-0.000038	0.211924	0.042846	-0.097536	0.191275	9.398134	-9.33207	6.156824	3.521307	-16.650741	25.506841	8.835116	-1.74355	48.178217	10.814614	-2.711252	70.776412	0.001815	-0.001851	0.016793	0.002846	-0.000817	0.069539	0.000079	-0.00259	0.137476	0.00033	-0.001177	0.242029	0.033153	-0.037759	0.013933	0.010972	-0.005974	0.025109	0.016194	-0.016855	0.05455	0.023995	-0.007615	0.098127	38.551724	-37.448276	22.12069	25.428571	-17.857143	89.785714	60.285714	-4.714286	142.285714	1	-7.5	160.25	0.003363	-0.003268	0.001519	0.000738	-0.002649	0.004652	0.001165	-0.004399	0.010918	0.002251	-0.002265	0.018499	4.490968	-4.473927	1.200723	3.622117	-3.773763	3.387402	3.659155	-1.020144	6.976637	2.384958	-3.438709	8.634958	0.17168	-0.157493	0.033268	0.120502	-0.128855	0.104576	0.099782	-0.158698	0.208661	0.339311	-0.245073	0.465161	0.060033	-0.058535	0.020715	0.041662	-0.058783	0.060175	0.106387	-0.081415	0.171642	0.096306	-0.077008	0.24583	21.944432	-22.142578	4.763345	23.598049	-26.115413	13.549671	23.852913	0	33.078233	19.531935	-22.879224	31.436193	11.76218	-12.039861	-0.256191	3.966454	-17.483199	22.492627	3.577825	-16.633848	19.098225	4.337693	-11.869357	11.246433	10.781529	-10.96156	-0.092849	3.04076	-17.316979	20.622708	2.764339	-13.505412	14.85633	4.06648	-10.199261	7.775661	9.357986	-9.377108	0.105722	2.331929	-16.700575	17.850459	3.252338	-9.684578	8.212604	3.489371	-8.339071	3.575952	8.515274	-8.402218	0.52065	2.405503	-16.170214	14.083478	2.541883	-5.205263	2.534701	3.843154	-7.258296	5.581513	7.263189	-6.987488	1.345043	1.561033	-15.450432	9.366196	5.715107	-3.137122	8.705613	3.259013	-4.696276	11.434485	9.129599	-8.604992	3.130334	3.158226	-18.207076	12.968525	8.743403	-1.718036	16.919971	5.575	-4.602748	20.916135	16.004003	-15.177714	5.553786	6.095677	-24.77034	23.008542	21.635696	-4.124132	34.641372	9.058983	-3.860258	32.884698	22.336162	-21.13038	8.261979	8.993444	-28.81366	34.2282	29.448338	-5.282271	51.620518	14.775932	-2.842325	50.850368	27.942134	-24.799012	13.563871	11.259061	-26.067178	42.56808	23.446056	-8.435449	69.130999	27.392962	-0.46797	83.866753	1.536239	-1.46263	1.158244	1.030716	-0.566708	3.356309	0	-3.804895	8.577264	2.044139	-0.237657	16.794531	1.439417	-1.462063	0.833423	0.814368	-0.464924	1.810298	0	-3.036915	5.412326	1.62717	-0.189334	9.639743	0.066555	-0.07071	0.018356	0.018676	-0.040553	0.035577	0.045529	-0.039719	0.091209	0.056783	-0.018056	0.076101	0.001672	-0.00141	0.000546	0.000946	-0.000662	0.000716	0.000746	-0.001402	0.000736	0.000533	-0.002268	0.002904	0.004186	-0.004449	0.002149	0.000446	-0.001291	0.004291	0.001331	-0.00188	0.009683	0.000238	-0.001359	0.015702	0.028387	-0.026722	0.012513	0.038394	-0.018113	0.050204	0.021694	-0.008544	0.067986	0.026342	-0.036346	0.135156	0.009502	-0.011167	0.014721	0.009452	-0.013749	0.055503	0.005408	-0.009856	0.118262	0.010573	-0.015796	0.203549	0.001687	-0.001424	0.016906	0.001052	-0.001587	0.069066	0.000477	-0.001703	0.139113	0.001579	-0.000185	0.241771	0.034072	-0.033089	0.056048	0.027235	-0.012811	0.231594	0.023681	-0.01562	0.435755	0.011105	-0.008183	0.766009	0.004148	-0.004198	0.001976	0.000733	-0.001078	0.003291	0.002376	-0.004084	0.009009	0.005218	-0.002394	0.01338	0.070853	-0.073448	0.027184	0.079903	-0.039035	0.106744	0.063369	-0.038287	0.141807	0.108505	-0.174178	0.336158	0.017068	-0.017096	0.013643	0.013934	-0.016559	0.051761	0.014283	-0.016463	0.110565	0.040246	-0.019899	0.176397	0.002836	-0.002452	0.016584	0.000431	-0.001837	0.067138	0.002602	-0.004175	0.136089	0.008311	-0.005402	0.234756	0.044281	-0.044836	0.062446	0.030222	-0.013908	0.256399	0.043981	-0.015572	0.488716	0.04966	-0.071542	0.860523	0.003322	-0.00331	0.001824	0.000649	-0.000986	0.003231	0.001308	-0.001512	0.006881	0.001529	-0.000637	0.010314	0.112505	-0.108415	0.039569	0.166261	-0.091064	0.155855	0.080601	-0.048903	0.207975	0.132555	-0.149623	0.467578	0.019171	-0.02107	0.01321	0.020258	-0.026134	0.047899	0.012444	-0.01784	0.0993	0.031608	-0.025205	0.162712	0.003367	-0.002907	0.016392	0.000814	-0.004021	0.066345	0.002865	-0.0039	0.134247	0.003548	-0.002867	0.22743	0.039145	-0.039202	0.064012	0.029701	-0.013527	0.263791	0.029067	-0.02305	0.497484	0.018007	-0.027456	0.877077	1548.216282	206.923009	0.461658	14.038575	1.545985	-0.294316	0.485614	0.083647	0.296751	40.094775	12.702255	1.806575	25.574038	6.230758	0.387339	35.200016	26.088503	0.727517	79.916814	57.241421	0.547117	0.477644	0.184207	0.828313	0.927937	0.397007	0.988895	1.556019	1.288085	2.31771	272.619108	48.40795	-1.004098	0.956744	0.008979	0.063269	0.367016	0.122462	1.842303	949.108696	203.647433	-0.142058	0.059717	0.013045	-0.43695	30.779342	10.965682	1.058819	1.172311	0.423126	-0.260678	0.632883	0.178007	0.83071	87.33389	64.770506	1.130225	-90.572266	68.603452	-1.843346	-69.945436	63.655801	-2.14567	-42.522046	57.638456	-2.51307	-8.043486	50.953157	-2.814696	38.640613	46.127646	-2.794611	101.94537	50.937261	-1.594417	188.203365	71.743757	-0.609546	302.606783	98.937766	-0.290464	451.784595	134.065826	-0.028265	50.163677	9.163657	0.184719	30.329036	9.76695	0.058616	0.433161	0.291068	0.514883	0.009527	0.007225	1.358907	0.069132	0.018028	1.483403	0.464796	0.129741	0.806556	0.797179	0.041075	-0.769846	0.967293	0.009744	-0.562496	2.976351	0.127743	-0.494149	0.055019	0.01798	1.377708	0.915379	0.240976	0.755881	0.69749	0.048951	-0.070987	0.941814	0.012679	-0.642811	3.244323	0.170464	-0.314361	0.049393	0.015487	1.701499	1.307509	0.393684	0.861548	0.637081	0.06674	-0.192428	0.922132	0.020543	-1.184852	3.363205	0.155916	-0.435636
